GYR_X,GYR_Y,GYR_Z
0.22766699,1.0992863,0.25919214
0.28732178,0.8958208,0.3540007
0.35443345,0.56132776,0.39767653
0.40023983,0.39301598,0.33802173
0.3981093,0.41219077,0.25919214
0.36721662,0.5315004,0.19847208
0.2937134,0.48675928,0.13349095
0.2063617,0.3898202,0.048269793
0.15949006,0.27264112,-0.019907128
0.11048789,-0.0032623722,-0.0326903
0.06148573,-0.37823546,-0.018841865
-2.9960563E-4,-0.4517387,0.012050804
-0.07699864,-0.24081634,0.069575086
-0.17287244,-0.03202451,0.08981511
-0.26235464,-0.13535516,0.004593953
-0.38805586,-0.55826515,-0.09127984
-0.5084307,-1.1132679,-0.19674103
-0.57447714,-1.2070112,-0.2958106
-0.5190834,-1.0365689,-0.19354524
-0.36675057,-0.78623176,-0.10725881
-0.2698115,-0.3793007,-0.14880413
-0.26341993,0.04360926,-0.14454307
-0.2943126,0.015912388,-0.08914932
-0.26235464,-0.027763454,-0.10193249
-0.17180718,0.04787032,-0.110454604
-0.09084708,0.1384178,-0.017776601
-0.08871655,0.2428137,-0.030559773
-0.07486811,0.521913,-0.22656843
0.022070948,0.9746504,-0.305398
0.11581422,1.1685286,-0.23828633
0.14244583,1.1280484,-0.22656843
0.10516157,1.1024821,-0.18395784
0.0114183035,1.489173,-0.2063284
-0.0844555,1.871603,-0.13495569
-0.17393771,2.0186095,-0.06997456
-0.20589565,1.8194051,0.0067244815
-0.17819877,1.3208613,0.0599877
-0.13558818,0.68489844,0.098337226
-0.07380285,0.28648955,0.07277088
0.015679361,0.2854243,0.03442136
0.085986815,0.49634665,0.07277088
0.09770472,0.6731805,0.11431619
0.07533417,0.69448584,0.15479624
0.07107311,0.56558883,0.16438362
0.08918261,0.5741109,0.17929731
0.08918261,0.59541625,0.24108265
0.081725754,0.75733644,0.2964764
0.051898353,1.0257831,0.31352064
-0.0045606634,1.1791811,0.38063228
-0.07380285,1.3208613,0.39128494
-0.18459035,1.2111391,0.43815657
-0.28365993,0.81166494,0.45093974
-0.32733577,0.70833427,0.4136555
-0.44558012,1.2782507,0.56492305
-0.42960116,1.1418968,0.6916895
-0.41788325,0.7946207,0.6043378
-0.48392966,0.40686443,0.6714495
-0.5031044,0.08835037,0.70234215
-0.46901596,-0.1460078,0.5979462
-0.39444745,-0.26105636,0.524443
-0.28259468,-0.2450774,0.42963445
-0.15476295,-0.20992367,0.3721102
-0.053562827,-0.23442475,0.33163014
0.0028961876,-0.3409512,0.26451847
0.013548832,-0.4432166,0.19421102
0.0114183035,-0.45280397,0.14201306
0.0039614523,-0.27383953,0.050400324
0.015679361,-0.04906874,-0.009254484
0.050833087,0.063849285,-0.024168186
0.08492155,0.0063250074,-0.07317035
0.083856285,-0.24933845,-0.13708621
0.030593064,-0.6498779,-0.18928418
-0.046105977,-0.9279119,-0.23402528
-0.10469552,-0.8853013,-0.2542653
-0.159024,-0.68929267,-0.28622323
-0.21654828,-0.6552042,-0.36398754
-0.28472522,-0.8139286,-0.4726445
-0.36355478,-0.99502355,-0.5738446
-0.4349275,-1.1260511,-0.6409563
-0.4945823,-1.1122026,-0.6910237
-0.5446497,-0.9630656,-0.7293732
-0.5755424,-0.77664435,-0.7677228
-0.5915214,-0.6200505,-0.7879628
-0.5936519,-0.5177851,-0.7719838
-0.5712813,-0.48369664,-0.72830796
-0.5308013,-0.53802514,-0.64947844
-0.4881907,-0.69888,-0.5568004
-0.46368963,-0.8341686,-0.4577308
-0.43599275,-0.9268466,-0.34481278
-0.39657798,-0.91406345,-0.27663586
-0.3571632,-0.78303593,-0.23402528
-0.3326621,-0.642421,-0.23828633
-0.31881368,-0.5774399,-0.2787664
-0.28685573,-0.58809257,-0.32137695
-0.23785357,-0.72551167,-0.37250966
-0.23359251,-0.8810403,-0.4129897
-0.31348735,-0.9843709,-0.398076
-0.39764324,-1.085571,-0.3767707
-0.40510008,-1.0887668,-0.40446758
-0.3539674,-0.9907625,-0.40872866
-0.30176944,-0.8469518,-0.37250966
-0.2463757,-1.0408299,-0.35120437
0.021005683,-1.0930278,-0.33309487
0.6527075,-0.37503967,-0.140282
0.9371331,-0.6626611,-0.15945677
1.0649648,-0.9737183,-0.25639585
1.1480554,-1.1260511,-0.30752853
1.0649648,-1.4914367,-0.31924644
0.72514546,-1.4690663,-0.2872885
0.1285974,-1.4349778,-0.14773886
-0.55956346,-1.4349778,-0.009254484
-0.75663733,-0.2631869,0.023768712
-0.34118423,0.54321826,0.1558615
0.18079534,0.42816973,0.1888847
0.7326023,0.3898202,-0.16478309
1.3227588,0.4622582,-0.43003392
1.7243634,0.3962118,-0.44388238
2.0865533,0.35040542,-0.23722108
2.3954802,0.021238709,-0.0326903
1.9310248,-1.0408299,-0.030559773
0.54192,-1.1803795,-0.2819622
-0.8184227,0.22470422,-0.27130952
-1.7079185,1.4146045,-0.022037657
-1.8634471,1.263337,0.08661931
-1.4692992,0.4590624,0.095141426
-0.7768774,0.23003054,0.05892244
0.03698465,0.09154616,0.15799204
0.7336676,0.15226623,-0.035886094
1.3121061,0.37064543,-0.20206735
1.8287594,0.1863547,-0.16371782
1.9629828,-0.60620207,-0.26598322
1.3802831,-0.5976799,-0.25000423
0.17014271,-0.47623977,-0.25959164
-1.0634335,0.18955049,-0.17543574
-1.8037922,0.5101951,-0.04440821
-2.2384202,0.58369833,0.13668674
-2.2799654,0.8414923,0.3923502
-1.6450679,0.6529405,0.7161906
-0.62134874,0.018042916,0.7364306
0.2745386,-0.5167198,0.41259024
1.0021142,-0.49328402,0.3145859
1.4569821,-0.33349434,0.49461558
1.6093149,-0.4155197,0.5052682
1.3589778,-0.23762055,0.3689144
0.6836001,-0.32177645,0.26558372
-0.53186655,-0.24188161,0.0024634239
-1.7611817,0.22790001,0.050400324
-2.4184499,0.23322633,0.13136043
-2.7284417,-0.0682435,0.21125525
-2.6229806,0.30672958,0.29221535
-1.6993964,0.23535685,0.4733103
-0.48073387,-0.2450774,0.17823206
0.6921223,-0.33988592,-0.27130952
1.7115803,0.14480938,-0.022037657
2.0961409,0.1384178,0.13455622
1.6881446,-0.33349434,0.14946991
0.5355284,-0.9012803,0.015246597
-1.1230884,-0.40486705,0.09088037
