ACC_X,ACC_Y,ACC_Z
8.603564,-6.4164605,-0.7074866
8.586804,-7.787141,-0.8535329
8.686164,-6.941988,-1.5107412
8.394072,-6.6965823,-1.1839328
8.438364,-7.047333,-0.89543146
8.645462,-6.5361705,-0.6991069
7.5525093,-6.009446,-1.0139444
8.499416,-6.2967505,-2.0171149
9.514558,-6.0166287,-2.4708161
9.397242,-5.5006785,-2.1140802
8.701726,-5.281609,-1.2198458
8.0445175,-5.327099,-0.8858546
7.620744,-4.631583,-1.5179238
8.437167,-5.0517654,-2.767697
8.669404,-4.4005427,-2.4229321
8.366538,-4.4879313,-1.6352397
7.7081323,-4.3598413,-0.7170634
7.5453267,-4.4544125,0.51235914
7.2747817,-4.7644615,1.2282255
7.7572136,-4.923676,1.2916719
8.535329,-4.8877625,1.0474633
9.058462,-4.620809,0.6596026
8.854955,-4.995502,0.24061728
7.8888946,-5.209783,0.24899697
8.09719,-5.3115363,0.7278373
7.916428,-5.4324436,0.6931214
8.157045,-5.8322754,0.45370123
8.337808,-5.6539073,-0.17597382
8.452729,-5.5042696,0.05626374
7.538144,-5.4180784,0.25857377
7.4746976,-5.398925,0.61171854
7.595605,-5.0397944,1.2234371
7.443573,-5.222951,1.5885528
7.297527,-4.9069166,1.8590976
7.869741,-3.9324763,-0.079008654
6.51582,-5.0182467,3.1878796
5.78918,-5.377377,3.526659
7.60997,-4.975151,2.9939492
7.860164,-5.66947,3.2920272
7.964312,-6.405687,3.2968156
8.1642275,-6.3578024,3.0322564
8.313866,-6.4463882,3.3913867
8.091205,-6.349423,3.846285
7.5932107,-6.0968347,3.7134068
7.657854,-6.051345,3.5924997
7.9307933,-6.0956373,3.241749
8.1079645,-6.0764837,2.8443117
8.426393,-6.167464,2.112883
8.214506,-5.876568,2.160767
7.997831,-5.722142,2.517503
7.8625584,-5.7137623,2.80361
7.777564,-5.5389857,2.7928362
7.631518,-5.270835,2.2996306
7.7344685,-4.8662148,1.3982137
8.3821,-4.486734,0.62368953
9.160215,-4.450821,0.2657564
9.13388,-4.629189,0.33997664
9.044097,-4.957195,0.31364042
8.99741,-5.0254292,0.130484
8.9842415,-5.005079,-0.020350715
9.11712,-5.197812,-0.25857377
9.32781,-5.4168816,-0.41299978
9.232041,-5.6551046,-0.31004912
8.772355,-5.7544637,-0.31483752
8.400057,-5.783194,-0.15682021
8.028955,-5.781997,0.21667525
7.595605,-5.66109,0.59974754
7.314286,-5.6646814,0.8415619
7.001843,-5.637148,0.45729253
6.980295,-5.5222263,0.29807812
7.2508397,-5.645528,-0.047884032
7.6973586,-5.73531,-0.5446809
8.127118,-5.9052987,-0.7733272
8.028955,-6.0250087,-1.0390835
8.013393,-5.9412117,-1.0702082
8.328231,-5.7999535,-0.8774749
8.27077,-5.4204726,-1.5191209
8.049306,-4.911705,-2.4361002
8.14268,-4.7058034,-2.4157495
8.534132,-5.0014873,-1.9871874
8.635885,-5.105635,-1.6448165
8.455123,-5.1642933,-1.816002
7.991845,-5.54138,-1.4460979
7.285556,-5.625177,-1.2617443
5.106832,-8.555679,2.9376855
6.5601125,-8.565256,1.151611
7.3777328,-5.365406,-1.638831
8.040926,-6.223727,-1.5897499
7.321469,-6.9467764,-2.9640217
7.633912,-5.511452,-6.2847795
7.608773,-3.7074213,-8.783129
6.9120603,-2.6719291,-10.812215
7.691373,-2.730587,-10.948685
8.10557,-2.3642743,-1.0749966
5.5641246,-2.1404164,2.349909
9.952697,-1.532289,2.4827871
11.713632,-2.1332338,2.9759927
8.785523,-4.423288,1.0941502
4.6722846,-1.7369933,-1.2569559
5.1882353,-1.769315,-0.91219085
7.7679873,-8.871715,-3.4584243
11.130644,-8.416816,-14.389153
10.0269165,-4.4077253,-16.950949
7.7081323,-4.950012,-13.52724
6.849811,-5.321113,-3.810372
5.554548,-1.4317327,1.5993267
8.127118,0.23582886,1.9919758
7.091625,0.6715736,3.1376014
9.749189,-0.89782566,0.7254431
9.175778,-2.9245174,-1.043872
5.2768207,-3.3327289,-1.3970166
7.455544,-5.7867856,-2.0266917
9.109938,-9.196129,-9.367314
9.436746,-13.839683,-11.611878
5.711368,-10.365696,-13.208811
7.8829093,-7.837419,-9.428367
6.781576,-8.072051,-7.3789296
5.8334723,-4.321534,-4.155137
5.579687,-1.6950948,4.367024
5.517438,-1.0833763,7.526173
8.896853,-1.1492168,5.403713
9.495404,-1.4879963,1.8471266
5.3127337,-0.46447513,-1.3551182
5.837064,-3.714604,-4.8865657
8.688558,-9.400833,-7.765593
8.669404,-10.601525,-8.212111
9.397242,-12.316971,-12.397177
5.8478374,-7.016208,-14.332889
7.929596,-5.1642933,-10.229227
8.327033,-5.81791,-5.5856724
8.488642,-3.1543608,-2.6180596
7.169437,-0.30166942,8.230068
8.027759,0.18555063,9.847352
11.822568,-2.1763294,6.706159
6.117185,-1.4065934,2.4408886
5.327099,-2.9161377,-2.3187842
8.7771435,-7.860164,-9.464279
11.781867,-12.203246,-11.056423
8.762778,-8.379706,-17.422606
8.086416,-5.961562,-17.208324
8.742428,-7.047333,-6.8809357
4.262876,-4.9296613,-3.0190883
0.260968,-0.5410896,6.6163764
3.5362358,2.0506337,11.56998
10.052056,0.9672575,9.307459
9.783905,-1.3204023,5.840655
6.2105594,-1.4460979,-1.4460979
11.431116,-9.662998,-8.492233
13.500903,-17.893066,-11.784261
5.45878,-12.685678,-23.058558
6.4128695,-9.345766,-18.86152
10.159795,-9.981427,-6.7600284
3.1232362,-4.975151,-3.550601
3.774459,-1.8579005,-0.7254431
4.4879313,0.21787235,10.973824
7.417237,0.81283146,11.112687
8.115147,-1.9955671,8.475474
5.57849,-2.2062569,2.360683
8.91481,-7.6470804,-3.7900212
7.4375877,-13.492524,-13.937845
8.663419,-13.7367325,-23.962368
8.297106,-8.240842,-19.83596
8.950723,-9.487024,-3.4033577
5.1930237,-5.436035,-5.6670756
5.2648497,-1.899799,-2.0817583
5.2085857,-1.3371617,9.497798
5.708974,2.1655555,12.258312
8.4647,-2.7473464,10.82658
4.072537,-0.076614454,4.4639893
8.585608,-5.436035,-1.8016368
7.6889787,-13.063962,-13.976152
10.159795,-11.653777,-22.631191
10.812215,-9.588778,-23.174675
10.072407,-8.8645315,-8.884883
6.191406,-5.448006,-4.510676
4.8662148,-2.2780828,0.8690952
4.0198646,-1.3323733,9.950302
4.0138793,0.56982,13.030443
5.1235914,-4.253299,11.911154
3.8498764,-1.6687586,2.944868
10.247183,-3.5553896,-9.710882
15.62456,-14.998477,-15.933413
12.928689,-17.30529,-27.216087
4.7405195,-5.9292407,-17.89546
10.135853,-7.123947,-1.7609353
3.807978,0.49081135,-8.639477
-0.2717419,2.6036944,5.60722
4.134786,2.8574798,12.091916
5.697003,5.109226,11.013328
7.7248917,-3.1471782,7.9834657
10.720038,-9.721656,4.104859
10.496181,-11.729194,-14.1664915
7.217321,-14.283808,-24.965538
8.687361,-10.334572,-24.774002
8.942344,-7.1766195,-13.102269
5.2744265,-6.0046577,-2.3355439
4.1299977,0.1376666,-7.6949644
6.481104,-1.0989386,11.909956
6.9970546,2.0721815,13.001713
5.995081,-0.6356605,10.969035
3.9995139,-3.0131028,6.4763155
6.3206925,-5.3558292,-0.19512744
8.963891,-13.716381,-16.21114
10.969035,-11.5077305,-26.317064
11.757924,-9.801862,-23.99469
8.707711,-8.582016,-7.6267295
6.975507,-2.9783869,-7.6494746
2.3918076,-1.0199299,7.7081323
5.8107276,0.90141696,11.591528
5.106832,0.866701,13.354857
3.2130187,-3.6739025,10.579977
6.9383965,-4.8255134,2.2960393
11.034876,-11.320983,-17.302896
12.172121,-11.280281,-27.54529
13.037625,-9.062054,-25.791538
8.576031,-7.8865004,-5.9507885
7.3286514,-3.5051112,-7.66384
-0.93852705,-0.29328972,8.868123
4.8147397,1.472434,13.979744
3.6978445,0.3854665,17.775751
4.2820296,-4.8961425,14.074315
11.320983,-9.259575,-8.791509
13.626599,-10.168175,-25.03138
11.319786,-10.313024,-28.981812
10.502166,-7.9691005,-22.02546
4.734534,-5.5940523,-4.736928
3.4572272,-1.6950948,-5.8346696
1.7046716,-0.16639702,11.245565
2.8909986,1.3024458,15.30254
2.9724014,-2.9245174,13.0041065
9.26197,-5.8598084,4.1635165
11.744757,-2.8407204,-15.203181
8.37372,-9.7240505,-21.156363
12.372037,-12.605472,-24.847025
8.92319,-7.620744,-11.971008
8.635885,-3.3973722,-13.678074
3.1148565,2.6048915,-5.1583076
4.4963107,1.922544,13.936648
3.9336734,3.9001546,15.751453
4.2305546,-2.5198972,14.817715
6.6175733,-5.8933277,7.0221934
5.9184666,-10.704475,-14.016854
13.211205,-16.303316,-32.963367
14.757859,-10.488997,-33.207577
7.2544312,-5.697003,-6.494272
6.566098,-3.1543608,-7.9607205
-0.075417355,1.2030864,15.562311
1.827973,4.722563,15.241488
5.4144874,0.34356794,16.01721
7.067683,-3.4093432,10.552444
13.476961,-11.571177,-4.247314
15.910667,-14.736312,-23.720552
8.080431,-9.64983,-38.482002
11.694478,-6.9407907,-27.888859
5.255273,-5.625177,-3.654749
-1.6316484,0.8355764,3.787627
-1.2569559,2.8550856,15.649699
2.754529,2.9855695,15.990873
9.308656,-5.315128,10.606314
11.447875,-8.123527,5.1140146
11.09473,-10.984597,-17.059885
12.644977,-12.196063,-31.640574
10.180145,-7.632715,-28.434736
8.694544,-6.443994,-6.64391
6.4248405,-3.0969,-9.339781
-1.4688427,4.6351743,12.349293
2.906561,0.44891283,14.791378
4.249708,0.18435353,15.194801
4.2102036,-5.685032,10.049662
12.023681,-12.121843,-9.016563
12.191275,-13.117831,-23.471556
12.641385,-9.576807,-30.82415
11.407174,-7.529764,-25.046942
8.463503,-5.400122,-4.7979803
3.369839,-1.484405,-0.7086837
-1.0079589,2.0290859,15.195998
2.9496565,2.8263552,15.194801
3.441665,-1.365892,14.793773
6.3661823,-4.9823337,3.6703112
12.50731,-12.190078,-14.863204
11.56998,-12.299014,-28.209682
14.255077,-9.524135,-31.094694
10.006566,-5.518635,-21.539436
4.429273,-4.3754034,-3.144784
2.5139117,-2.2278047,5.813122
-0.7505822,1.5239093,15.925033
3.7804444,1.2988545,14.785393
5.092467,-3.558981,12.722788
9.824607,-7.8972745,1.3479356
10.125079,-10.144233,-19.128475
8.51019,-8.614338,-30.927101
14.046782,-8.827422,-27.670986
10.494983,-5.5868697,-13.791799
3.8534677,-4.1611223,-8.523358
5.398925,-2.0973208,11.723208
1.8674773,-0.1364695,15.555128
4.203021,-0.34117374,15.479712
4.1946416,-2.813187,10.208876
10.653001,-7.5812397,-4.578911
10.389638,-9.299079,-16.785748
7.5429325,-7.5225816,-28.414385
13.115437,-6.621165,-28.561628
8.23366,-5.6910176,-11.089942
7.7308774,-7.505822,-3.2381577
3.2908301,-2.2972364,7.735666
2.4624364,0.89782566,15.334862
0.79487497,1.8339585,14.80694
3.7313633,-1.174356,2.1511903
12.423512,-3.3123782,-13.174095
11.245565,-8.289924,-18.48204
9.940725,-9.094376,-22.807165
9.2547865,-4.3179426,-15.781381
10.919954,-3.7445314,-10.480618
6.05733,-2.018312,-5.840655
6.3949127,-1.0702082,4.0821137
5.1690817,0.36870706,4.3143516
5.535394,1.2665327,0.08499416
7.0545154,1.1767502,-4.894945
9.306262,0.24061728,-7.9750857
9.321824,-0.89303726,-7.404069
8.834604,-1.4580688,-5.088876
9.069236,-2.219425,-4.1060557
8.896853,-3.1794999,-3.040636
7.926005,-3.3063924,-1.4221559
7.9307933,-3.5051112,-1.2294226
9.205706,-3.8774097,-1.9632454
9.380483,-4.187459,-2.2900538
8.9758625,-4.923676,-2.303222
8.505402,-5.1020436,-2.6563668
8.318654,-5.057751,-2.7724855
7.619547,-4.3394904,-2.5785553
7.5094137,-4.0545807,-2.6144683
7.2508397,-3.3758245,-2.3774424
7.0820484,-2.8048072,-2.4277205
7.523779,-2.7126305,-2.5689783
8.445546,-2.542642,-2.991555
8.3390045,-2.160767,-3.4045548
8.348581,-2.0494366,-2.979584
8.537724,-1.8495208,-3.4332852
8.564059,-1.673547,-3.5805287
9.053674,-1.8315643,-3.13401
9.325416,-1.9009962,-3.3087866
8.986636,-1.7848774,-2.9412768
8.799889,-1.7872716,-1.5873557
8.707711,-1.9165585,0.01436521
8.662222,-2.1978772,0.78649527
8.512584,-2.208651,0.58298814
7.9930425,-2.3690627,-0.1376666
7.1431007,-2.89459,-2.6779146
6.9850836,-5.6323595,-6.992266
9.721656,-8.954314,-11.853693
12.283452,-3.6607344,-14.3735895
10.33098,-2.6635494,-11.32218
6.114791,-2.4672248,-4.9883194
6.009446,1.6172832,8.907627
8.874108,1.8219875,13.854048
8.380903,-1.8411411,10.927136
6.4978633,-5.175067,6.579266
6.5840545,-4.7860093,-10.718841
11.142614,-7.4950485,-21.596897
15.528792,-8.668207,-29.783869
12.0332575,-5.080496,-22.081722
6.315904,-5.2181625,-10.478224
3.003526,0.15562311,-2.6360161
5.4791307,-0.8690952,13.340492
7.241263,-3.4380736,17.860744
6.505046,-4.626795,15.901091
5.7963624,-5.815516,4.394557
7.503428,-5.7305217,-14.885949
10.445902,-6.609194,-18.30846
12.087128,-9.412804,-27.034128
7.4351935,-5.6790466,-20.207062
7.1945763,-5.483919,-7.4806833
5.6156,-4.131195,-1.9536686
6.2608376,-1.9381063,5.2169657
6.5481415,-3.8510735,13.377602
6.7803793,-4.4304705,9.621099
6.131551,-3.1651347,-3.0550013
8.998607,-0.59256494,-11.347319
10.631453,-2.5019407,-9.653421
9.727641,-7.711724,-8.651448
9.382876,-4.796783,-4.56694
10.189722,-3.582923,-2.3080103
8.221688,-3.7948096,-7.6171527
8.364143,-2.1775265,-6.0681043
10.794258,-3.5170822,-3.762488
10.077195,-4.3897686,-2.2852654
9.532514,-3.2477345,-3.916914
11.177331,-3.0825348,-5.33907
11.705252,-4.9907136,-4.945224
10.362105,-5.345055,-2.814384
7.1634517,-3.6343982,-0.08020575
5.7508726,-5.753267,3.9001546
5.5102553,-8.816648,3.8355112
4.7680526,-6.087258,5.057751
4.361038,-3.928885,1.2078748
5.1690817,-1.7106571,2.3463178
3.063381,-0.6715736,3.3877954
4.1036615,-4.1383777,2.1978772
4.631583,-0.011971008,7.5848308
4.146757,-4.891354,8.973468
6.3685765,-6.38773,9.665392
8.91481,-4.853047,7.5848308
9.536105,-6.6271505,5.747281
8.577228,1.1468226,6.882133
8.75799,-2.6180596,5.865794
5.4168816,-2.8299465,10.964247
3.9480386,-3.705027,10.535685
5.1475334,-3.502717,10.53329
5.542577,-5.225345,14.750677
3.1711202,-4.259285,14.300567
5.5748987,-3.393781,9.791088
2.6372132,-1.4221559,10.09156
-1.1360487,-2.124854,11.549629
-4.237737,-2.835932,11.112687
0.12808979,-4.3837833,5.98311
2.6922798,-4.739322,7.165846
5.6790466,-5.758055,-0.005985504
8.394072,-3.7612908,-5.305551
9.01417,-1.9081788,-3.5122938
7.3873096,-3.4021606,-3.2477345
8.467094,-4.879383,-6.2225304
8.3821,-3.357868,-8.366538
7.2687964,-1.3682863,-9.279925
9.805453,-2.0111294,-5.98311
12.2080345,-2.859874,-10.150218
13.193249,-1.2761095,-3.928885
9.933543,-3.0107086,-2.9245174
7.038953,-3.7469256,-2.4624364
6.314707,-3.5553896,-1.7262194
12.239159,-3.7469256,-0.095768064
9.65821,0.15083471,-3.0550013
9.385271,-0.4369418,-7.15986
11.920731,-0.9888053,-6.1423244
7.7081323,0.6584055,-1.4137762
5.04578,-0.6823475,0.39863458
10.67814,-2.753332,-1.0354922
12.418724,-2.0925324,-0.09696517
11.641806,-3.6403837,4.614824
9.294291,-4.545392,0.62488663
